name,team,position,base_salary,total_comp
Kaka,ORL,M,6660000,7167500
Sebastian Giovinco,TOR,F,5600000,7115556
Michael Bradley,TOR,M,6000000,6500000
Andrea Pirlo,NYCFC,M,5600000,5915690
David Villa,NYCFC,F,5610000,5610000
Giovani Dos Santos,LA,F,3750000,5500000
Bastian Schweinsteiger,CHI,M,5400000,5400000
Jozy Altidore,TOR,F,4875000,4875000
Clint Dempsey,SEA,F,3200000,3892934
Diego Valeri,POR,M,2227500,2607500
Tim Howard,COL,GK,2000000,2475000
Miguel Almiron,ATL,M,1912500,2297000
Maximiliano Moralez,NYCFC,M,2000000,2000000
Romain Alessandrini,LA,M,1669401,1999401
Yura Movsisyan,RSL,F,1750000,1973750
Nemanja Nikolic,CHI,F,1700000,1906333
Fredy Montero,VAN,F,1400000,1800000
Nicolas Lodeiro,SEA,M,1371429,1743429
Fanendo Adi,POR,F,1190004,1736254
Shkelzen Gashi,COL,F,1575000,1668750
Bradley Wright-Phillips,NYRB,F,1500000,1635000
Alejandro Bedoya,PHI,M,1131000,1197250
Osvaldo Alonso,SEA,M,1100000,1141667
Sebastian Blanco,POR,M,1000008,1075008
Federico Higuain,CLB,M,1050000,1050000
Kevin Doyle,COL,F,1000000,1045000
Josef Martinez,ATL,F,924000,1041310
Lucas Melano,POR,F,790000,1010000
Xavier Kouassi,NE,M,840000,890542
Matias Laba,VAN,M,725000,885500
Albert Rusnak,RSL,M,825000,882813
Mauro Diaz,DAL,M,784000,880890
Roger Espinoza,KC,M,850000,850000
Antonio Nocerino,ORL,M,800000,850000
Jonathan Mensah,CLB,D,750000,844000
Kyle Beckerman,RSL,M,750000,825000
David Accam,CHI,F-M,750000,820938
Maurice Edu,PHI,M,750000,818750
Chris Wondolowski,SJ,F,800000,800000
Kei Kamara,NE,F,800000,800000
Simon Dawkins,SJ,M,800000,800000
Sacha Kljestan,NYRB,M,650000,787500
Giles Barnes,ORL,F-M,725000,781250
Roland Lamah,DAL,M,630000,773500
Mix Diskerud,NYCFC,M,772669,772669
Hector Villalba,ATL,F,663000,770750
Matt Besler,KC,D,725000,758250
Graham Zusi,KC,M,725000,757102
Carlos Gruezo,DAL,M,495000,731500
Carlos Carmona,ATL,M,675000,725000
Jermaine Jones,LA,M,600000,722500
Matteo Mancosu,MTL,F,700000,719542
 Juninho,CHI,M,700008,716675
Victor Vazquez,TOR,M,630000,700000
Brek Shea,VAN,M-D,625000,670000
Dom Dwyer,KC,F,550000,668750
Erick Torres,HOU,F,650000,665000
Jelle Van Damme,LA,D,600000,662500
Laurent Ciman,MTL,D,630000,661667
Benjamin Angoua,NE,D,600000,654333
Liam Ridgewell,POR,D,615000,615000
Jonathan Spector,ORL,D,549996,611934
Luciano Acosta,DC,M-F,500000,602000
Gaston Sauro,CLB,D,585000,601313
Benny Feilhaber,KC,M,600000,600000
Gerso Fernandes,KC,M-F,550008,591258
Gyasi Zardes,LA,F,577500,577500
Johan Kappelhof,CHI,D,530000,570000
Chris McCann,ATL,M,540000,568000
Darlington Nagbe,POR,M/F,550000,565000
Michael De Leeuw,CHI,F,500000,564213
Vadim Demidov,MNUFC,D,550008,555008
Yordy Reyna,VAN,M-F,440000,533700
Diego Chara,POR,M,500000,522000
Jahmir Hyka,SJ,M,470004,520004
 Ilsinho,PHI,M,470000,518333
Florian Jungwirth,SJ,D-M,450000,516667
Roman Torres,SEA,D,433000,508813
Jay Simpson,PHI,F,465000,508333
Haris Medunjanin,PHI,M,460008,505008
Danny Hoesen,SJ,F,425004,503129
Juan Agudelo,NE,F,475000,502500
Gonzalo Veron,NYRB,M-F,500000,500000
Lee Nguyen,NE,M,500000,500000
Dax McCarty,CHI,M,400000,500000
Steven Birnbaum,DC,D,474996,499996
Ola Kamara,CLB,F,450000,482500
Nick Rimando,RSL,GK,450000,470000
David Mateos Ramajo,,D,420000,453333
Daniel Royer,NYRB,M,450000,450000
Ignacio Piatti,MTL,M,450000,450000
Aurelien Collin,NYRB,D,450000,450000
Will Johnson,ORL,M,414000,450000
Chris Pontius,PHI,M-F,400000,431000
Marcelo Sarvas,DC,M,360000,425000
Matt Hedges,DAL,D,399996,424996
Alberth Elis,HOU,F,423000,423000
Kenwyne Jones,ATL,F,390000,413333
Kevin Molino,MNUFC,M,350004,402504
Antonio Mlinar Delamea,NE,D,400008,400008
Joao Plata,RSL,F,350000,400000
Bill Hamid,DC,GK,350000,395500
Roland Alberg,PHI,M,345000,394250
Christian Ramirez,MNUFC,M,350004,392504
Marco Donadel,MTL,M,349992,386659
Cristian Colman,DAL,F,300000,385000
Maxime Chanot,NYCFC,D,350000,383000
David Ousted,VAN,GK,360000,378933
Ashley Cole,LA,D,350000,377625
Cristian Techera,VAN,M,352000,377000
Alexander Ring,NYCFC,M,340000,376667
Carlos Rivas,ORL,M,375000,375000
Ricardo Clark,HOU,M,335160,372660
Kendall Waston,VAN,D,350000,368125
Chad Marshall,SEA,D,350000,366250
Fredrik Gulbrandsen,NYRB,F,360000,360000
DaMarcus Beasley,HOU,D,316008,351008
Wil Trapp,CLB,M,300000,350000
Maynor Figueroa,DAL,D,320000,343333
Bismark Adjei-Boateng,COL,M,300000,341246
Brad Evans,SEA,D-M,300000,338501
Anibal Chala,DAL,D,250000,333000
Francisco Calvo,MNUFC,D,300000,330844
Dominic Oduro,MTL,F,330000,330000
Justin Meram,CLB,M,300000,328750
Luis Solignac,CHI,F,275000,328312
Will Bruin,SEA,F,325000,326667
