name,position,rank,team,salary
Stephen Curry,PG,1,Golden State Warriors,34382550
LeBron James,SF,2,Cleveland Cavaliers,33285709
Paul Millsap,PF,3,Denver Nuggets,31269231
Blake Griffin,PF,4,LA Clippers,29727900
Gordon Hayward,SF,5,Boston Celtics,29727900
Kyle Lowry,PG,6,Toronto Raptors,28703704
Mike Conley,PG,7,Memphis Grizzlies,28530608
Russell Westbrook,PG,8,Oklahoma City Thunder,28530608
James Harden,PG,9,Houston Rockets,28299399
DeMar DeRozan,SG,10,Toronto Raptors,27739975
Al Horford,PF,11,Boston Celtics,27734406
Carmelo Anthony,PF,12,Oklahoma City Thunder,26243760
Damian Lillard,PG,13,Portland Trail Blazers,26153057
Jrue Holiday,PG,14,New Orleans Pelicans,25686667
Kevin Durant,SF,15,Golden State Warriors,25000000
Otto Porter Jr.,SF,16,Washington Wizards,24773250
Chris Paul,PG,17,Houston Rockets,24599495
CJ McCollum,SG,18,Portland Trail Blazers,23962573
Andre Drummond,C,19,Detroit Pistons,23775506
Bradley Beal,SG,20,Washington Wizards,23775506
Anthony Davis,PF,21,New Orleans Pelicans,23775506
Dwight Howard,C,22,Charlotte Hornets,23500000
Chandler Parsons,SF,23,Memphis Grizzlies,23112004
Harrison Barnes,SF,24,Dallas Mavericks,23112004
JJ Redick,SG,25,Philadelphia 76ers,23000000
Brook Lopez,C,26,Los Angeles Lakers,22642650
Marc Gasol,C,27,Memphis Grizzlies,22642350
DeAndre Jordan,C,28,LA Clippers,22642350
Kevin Love,C,29,Cleveland Cavaliers,22642350
Steven Adams,C,30,Oklahoma City Thunder,22471910
Giannis Antetokounmpo,PF,31,Milwaukee Bucks,22471910
Nicolas Batum,SG,32,Charlotte Hornets,22434783
Rudy Gobert,C,33,Utah Jazz,21924719
LaMarcus Aldridge,PF,34,San Antonio Spurs,21461010
Victor Oladipo,SG,35,Indiana Pacers,21000000
Danilo Gallinari,SF,36,LA Clippers,20559599
Serge Ibaka,PF,37,Toronto Raptors,20061729
George Hill,PG,38,Sacramento Kings,20000000
Ryan Anderson,PF,39,Houston Rockets,19578455
Paul George,SF,40,Oklahoma City Thunder,19508950
Allen Crabbe,SG,41,Brooklyn Nets,19332500
Jimmy Butler,SG,42,Minnesota Timberwolves,19301070
Jeff Teague,PG,43,Minnesota Timberwolves,19000000
Kawhi Leonard,SF,44,San Antonio Spurs,18868626
Kyrie Irving,PG,45,Boston Celtics,18868626
