rank,rank_last_week,events,avg_points,total_points,points_lost,points_gained,country,fetch_name,followers,username,full_name,profile_pic_url,is_verified,is_private,id,name
1,1,45,9.85,443.08,-143.63,118.31,USA,Dustin Johnson,737145,djohnsonpga,Dustin Johnson,https://scontent-lga3-1.cdninstagram.com/vp/59b677095caeff7845277a2c44963b46/5B6E657D/t51.2885-19/11201580_905116029563803_2072599309_a.jpg,true,false,286579203,Dustin Johnson
2,2,51,9.46,482.46,-98.29,146.00,USA,Justin Thomas,538938,justinthomas34,Justin Thomas,https://scontent-lga3-1.cdninstagram.com/vp/5c72e733f4251a60fb9d160eb364bbd9/5B580056/t51.2885-19/s150x150/20837341_327325977727068_4135552519587758080_a.jpg,true,false,185732103,Justin Thomas
3,3,48,8.77,420.91,-112.08,91.02,USA,Jordan Spieth,1467151,jordanspieth,Jordan Spieth,https://scontent-lga3-1.cdninstagram.com/vp/79998a334ea7ff7e7b592fa56f6454f2/5B5ADB0D/t51.2885-19/11094488_1570045006566969_1392096788_a.jpg,true,false,274480326,Jordan Spieth
4,4,46,8.73,401.57,-67.40,146.80,ESP,Jon Rahm,106634,jonrahm,Jon Rahm Rodriguez,https://scontent-lga3-1.cdninstagram.com/vp/790fafd3086ce2ec1dfb87bcac85b668/5B55BD89/t51.2885-19/s150x150/16583593_1551735784854930_1953197628384608256_a.jpg,true,false,594390531,Jon Rahm
5,5,45,7.54,339.14,-72.40,58.83,ENG,Justin Rose,468285,justinprose99,Justin Rose,https://scontent-lga3-1.cdninstagram.com/vp/882eaff765ae11304caee699af751fb7/5B6A43C7/t51.2885-19/s150x150/30589756_161983217957773_2689168440949735424_n.jpg,true,false,778778766,Justin Rose
6,6,47,7.29,342.55,-72.47,88.85,USA,Rickie Fowler,1441617,rickiefowler,R I C K I E,https://scontent-lga3-1.cdninstagram.com/vp/28f5e4c90f2ef12dd278bf4a11920ad4/5B6A580F/t51.2885-19/s150x150/24327294_1877047399272626_7981290739214581760_n.jpg,true,false,256554282,Rickie Fowler
7,7,41,6.73,276.08,-80.04,130.59,NIR,Rory McIlroy,1510931,rorymcilroy,RORY,https://scontent-lga3-1.cdninstagram.com/vp/45562b20567408e81077d885efd22b3c/5B7B3499/t51.2885-19/s150x150/20633489_681765402014799_7154318254071087104_a.jpg,true,false,1081608031,Rory McIlroy
8,8,47,6.64,312.08,-106.12,30.14,JPN,Hideki Matsuyama,171,hideki_matsuyama_,Hideki matsuyama,https://scontent-lga3-1.cdninstagram.com/vp/1e73619f5809fa47771a18e3ed943818/5B584BF6/t51.2885-19/s150x150/16465793_151858568654539_5982210207135039488_a.jpg,false,false,4578632214,Hideki Matsuyama
9,9,40,5.73,229.24,-70.51,2.30,USA,Brooks Koepka,188426,bkoepka,Brooks Koepka,https://scontent-lga3-1.cdninstagram.com/vp/4cb5b9a9c92064af8018cbb2ab6fb899/5B67798F/t51.2885-19/s150x150/12407640_559902950829913_1746109015_a.jpg,true,false,478408431,Brooks Koepka
10,10,44,5.62,247.47,-70.11,68.33,ESP,Sergio Garcia,321740,thesergiogarcia,Sergio Garcia,https://scontent-lga3-1.cdninstagram.com/vp/909feb8cb63f861f0b49a40fd8527e4d/5B5A9F53/t51.2885-19/s150x150/26152978_202563733654672_8207919606325575680_n.jpg,true,false,3228603742,Sergio Garcia
11,11,52,5.53,287.56,-59.68,153.12,USA,Patrick Reed,123234,preedgolf,Patrick Reed,https://scontent-lga3-1.cdninstagram.com/vp/59ae0da7aca94854b2ed7fed79c7af03/5B63FCC7/t51.2885-19/s150x150/15877587_757970257683603_903908187072102400_a.jpg,true,false,2353987736,Patrick Reed
12,12,52,5.47,284.51,-50.64,98.10,ENG,Tommy Fleetwood,31923,tommyfleetwood_1,Tommy Fleetwood,https://scontent-lga3-1.cdninstagram.com/vp/7ed3270c893342b9989220bc6500da82/5B5D2C4D/t51.2885-19/s150x150/29739960_224833101431301_6346508882210193408_n.jpg,true,false,5392514387,Tommy Fleetwood
13,13,40,5.44,217.66,-80.90,86.75,AUS,Jason Day,576110,jasondayofficial,Jason Day,https://scontent-lga3-1.cdninstagram.com/vp/b065db62a41da24eb6517da2628028ab/5B5F3715/t51.2885-19/s150x150/15802292_135169310312739_8338961364923973632_a.jpg,true,false,2136635357,Jason Day
14,14,44,5.40,237.77,-82.28,60.40,SWE,Henrik Stenson,272323,henrikstenson,Henrik Stenson,https://scontent-lga3-1.cdninstagram.com/vp/f91f9f69e652c34dcc6c6ad2fc3c655c/5B58AB6E/t51.2885-19/11849174_128486780826773_1412341692_a.jpg,true,false,569289403,Henrik Stenson
15,15,48,5.34,256.27,-63.00,89.48,ENG,Paul Casey,47983,paul_caseygolf,Paul Casey,https://scontent-lga3-1.cdninstagram.com/vp/317b6424d94fdbaf8df9a1a6f84edcf1/5B599293/t51.2885-19/s150x150/24274480_894964353996931_2664687123067568128_n.jpg,true,false,1900625296,Paul Casey
16,16,52,4.95,257.59,-56.83,48.49,AUS,Marc Leishman,13524,marcleish,Marc Leishman,https://scontent-lga3-1.cdninstagram.com/vp/1af6b0667d0a014c8d5850a950c032ce/5B57710D/t51.2885-19/s150x150/12393729_813729135439589_1153443624_a.jpg,true,false,2101639015,Marc Leishman
17,17,51,4.78,243.71,-58.42,95.07,SWE,Alex Noren,42451,alexnoren1,Alex Noren,https://scontent-lga3-1.cdninstagram.com/vp/efe9a71128877ec7852191fca0fb4eb0/5B7B6EBA/t51.2885-19/s150x150/29087746_794039097460073_5032756563358515200_n.jpg,true,false,260057790,Alex Noren
18,18,46,4.61,212.04,-28.88,169.59,USA,Bubba Watson,672841,bubbawatson,Bubba Watson,https://scontent-lga3-1.cdninstagram.com/vp/561d848ddd7239f977b20e56f147b3d4/5B5D0CC3/t51.2885-19/11821119_531572423657183_664667092_a.jpg,true,false,560955286,Bubba Watson
19,19,52,4.49,233.22,-58.81,60.55,ENG,Tyrrell Hatton,28627,tyrrellhatton,Tyrrell Hatton,https://scontent-lga3-1.cdninstagram.com/vp/64382f3118afc175b880f4e9585d5aed/5B9BBCF9/t51.2885-19/s150x150/26868689_322066984979273_1742624216609456128_n.jpg,true,false,197696182,Tyrrell Hatton
20,20,47,4.47,210.26,-42.96,128.00,USA,Phil Mickelson,575,philmickelson_golf,Phil Mickelson,https://scontent-lga3-1.cdninstagram.com/vp/5c66046467ed68b8e065dc4fb2c263c7/5B5AA146/t51.2885-19/10608179_1455945714668341_1822663546_a.jpg,false,false,1459887694,Phil Mickelson
21,21,52,4.18,217.36,-67.80,41.74,USA,Matt Kuchar,31852,mattkuchargolf,Matt Kuchar,https://scontent-lga3-1.cdninstagram.com/vp/22c09fa1f1a17cf5e6aa4703bc83cd6e/5B9AC18C/t51.2885-19/s150x150/13739507_1213847801966885_1059142022_a.jpg,true,false,3620738051,Matt Kuchar
22,22,40,4.08,163.14,-35.20,27.52,USA,Pat Perez,76312,patperezgolf,Pat Perez,https://scontent-lga3-1.cdninstagram.com/vp/48451facb15f8f3b5aeeb7cdd108b43f/5B5FAEF6/t51.2885-19/s150x150/23969650_151558448797998_3213534177710309376_n.jpg,true,false,1085032767,Pat Perez
23,23,52,3.91,203.38,-39.14,69.66,USA,Brian Harman,4994,harmanbrian,Brian Harman,https://scontent-lga3-1.cdninstagram.com/vp/d73cdf76b64f2c1e38cd83cf80b29f0a/5B58E644/t51.2885-19/11849870_754022571375681_1647818168_a.jpg,true,true,555779746,Brian Harman
24,24,52,3.84,199.85,-40.62,66.46,USA,Kevin Kisner,1155,kiz36,Kevin Kisner,https://scontent-lga3-1.cdninstagram.com/vp/ced6ae27302f178293d125880148bdf7/5B694752/t51.2885-19/11875598_496037887239694_1721378736_a.jpg,false,false,232116848,Kevin Kisner
25,25,52,3.84,199.84,-57.34,46.22,ESP,Rafa Cabrera Bello,33441,rcabrerabello,Rafa Cabrera Bello,https://scontent-lga3-1.cdninstagram.com/vp/f93c5cbab800b97bd395212b161f0bb8/5B558F4D/t51.2885-19/s150x150/20067375_1808051325878305_605336551873839104_a.jpg,true,false,1419644379,Rafa Cabrera Bello
26,26,52,3.48,180.85,-47.08,31.89,USA,Charley Hoffman,47213,charleyhoffman,charley hoffman,https://scontent-lga3-1.cdninstagram.com/vp/f0fe90b2c085c9c36708479d3a243981/5B653B07/t51.2885-19/s150x150/30077865_143209953185465_3094512220097216512_n.jpg,true,false,297822959,Charley Hoffman
27,27,52,3.47,180.23,-24.35,82.98,JPN,Satoshi Kodaira,21113,satoshi_kodaira_official,小平 智,https://scontent-lga3-1.cdninstagram.com/vp/f22bc60490a72ffde061e45054e8f53f/5B7738B1/t51.2885-19/s150x150/23734347_306729229842506_4247763174465470464_n.jpg,false,false,5657579261,Satoshi Kodaira
28,28,52,3.44,178.77,-33.21,32.56,USA,Xander Schauffele,21192,xanderschauffele,Xander Schauffele,https://scontent-lga3-1.cdninstagram.com/vp/38f66faf4ae6dbb593061aec6a530d4b/5B59D888/t51.2885-19/s150x150/26406146_175295599741550_7033800032931282944_n.jpg,true,false,227577867,Xander Schauffele
29,29,49,3.40,166.44,-22.80,81.83,ENG,Ian Poulter,272894,ianjamespoulter,Ian Poulter,https://scontent-lga3-1.cdninstagram.com/vp/85caec6bd840a7e7214d516ff5255ca0/5B78E62C/t51.2885-19/s150x150/22638954_1911036575815226_3788011114684481536_n.jpg,true,false,43987434,Ian Poulter
30,30,43,3.39,145.90,-47.82,28.82,RSA,Louis Oosthuizen,48058,louisoosthuizen57,Louis Oosthuizen,https://scontent-lga3-1.cdninstagram.com/vp/29813346d71dcc79631430965669171e/5B786EAD/t51.2885-19/s150x150/25037573_2023796677709329_2854445392454483968_n.jpg,true,false,4024667227,Louis Oosthuizen
31,31,52,3.26,169.33,-23.99,70.86,THA,Kiradech Aphibarnrat,22022,kiradech_arm,Arm-Kiradech Aphibarnrat,https://scontent-lga3-1.cdninstagram.com/vp/0e1cd4cc6421001c335b77208a737d09/5B5F5D43/t51.2885-19/11189795_1097200586963533_2057538503_a.jpg,false,false,189348286,Kiradech Aphibarnrat
32,32,51,3.23,164.94,-49.59,22.29,ITA,Francesco Molinari,9172,chiccogolf,Francesco Molinari,https://scontent-lga3-1.cdninstagram.com/vp/4fc169a26332e895d5e2d510344e6a6f/5B6CC3C8/t51.2885-19/10864993_1573653899537272_1549211576_a.jpg,true,false,1432049115,Francesco Molinari
33,33,52,3.22,167.61,-33.64,67.23,USA,Tony Finau,91954,tonyfinaugolf,Tony Finau,https://scontent-lga3-1.cdninstagram.com/vp/2d2752ccc7a08f17f9bcf6449eb24236/5B5C5CE9/t51.2885-19/928017_298773846997724_1814387954_a.jpg,true,false,1517072463,Tony Finau
34,34,40,3.15,126.15,-18.54,40.16,USA,Patrick Cantlay,9141,patrickcantlay,Patrick Cantlay,https://scontent-lga3-1.cdninstagram.com/vp/f26d91986e8942c0253ec5bdb9a7a133/5B69788E/t51.2885-19/s150x150/17662985_1858921554370095_6512648967522615296_a.jpg,true,false,4339511355,Patrick Cantlay
35,35,52,3.15,163.96,-46.55,49.99,RSA,Branden Grace,2456,brandengracegolf,Branden Grace,https://scontent-lga3-1.cdninstagram.com/vp/438ccc8df93291b611ca7faf31e8d93d/5B62D393/t51.2885-19/s150x150/1172846_1526257624333771_1788478006_a.jpg,false,false,2272593657,Branden Grace
36,36,52,3.07,159.73,-35.56,79.12,USA,Gary Woodland,21263,gary.woodland,Gary Woodland,https://scontent-lga3-1.cdninstagram.com/vp/b1fafffbeacf4898fd11d9f953c067d5/5B7B80DB/t51.2885-19/s150x150/12383223_946274308791185_1876236622_a.jpg,true,false,362594387,Gary Woodland
37,37,50,2.99,149.68,-46.91,33.72,USA,Daniel Berger,58450,db_straitvibin,Daniel Berger,https://scontent-lga3-1.cdninstagram.com/vp/fbc63594b22b4fa62d5b2e05f270805c/5B7988DC/t51.2885-19/s150x150/26864554_212204042669917_6380620234029531136_n.jpg,true,false,431741880,Daniel Berger
38,38,52,2.95,153.19,-41.65,32.08,ENG,Matthew Fitzpatrick,20,fitz.matthew,Matthew Fitzpatrick,https://scontent-lga3-1.cdninstagram.com/vp/dbc7bbda39d28575e1a72da7571d093f/5B78754A/t51.2885-19/s150x150/12816788_590660367761211_1989892903_a.jpg,false,true,3068520733,Matthew Fitzpatrick
39,39,52,2.89,150.23,-37.48,54.91,KOR,Si Woo Kim,13168,siwookim95,Si Woo Kim,https://scontent-lga3-1.cdninstagram.com/vp/4eec56b4ff63d0cb254a8adf87ddfa0b/5B583F47/t51.2885-19/s150x150/23161614_382516392178629_5921414202030817280_n.jpg,true,false,1717616452,Si Woo Kim
40,40,52,2.89,150.18,-20.73,61.30,AUS,Cameron Smith,15036,cameronsmithgolf,Cameron Smith,https://scontent-lga3-1.cdninstagram.com/vp/eb9aef1268f4c603c807788dbdb1f993/5B59DB5E/t51.2885-19/s150x150/25018955_191445608073973_1179205355838636032_n.jpg,true,false,202882908,Cameron Smith
41,41,52,2.83,147.30,-31.76,55.68,USA,Webb Simpson,1305,webbsimpson,Webb Simpson,https://scontent-lga3-1.cdninstagram.com/vp/6a3424f7bb531ee2b960b8b2dbff65d6/5B69DE9F/t51.2885-19/s150x150/13725764_317715825229861_980134281_a.jpg,true,false,1834431650,Webb Simpson
42,42,52,2.78,144.59,-34.02,36.90,ENG,Ross Fisher,24,rossfisher,Ross Fisher,https://scontent-lga3-1.cdninstagram.com/vp/f80fc7faf243d73bb71347f88af1315e/5B6BE5A0/t51.2885-19/s150x150/12547199_915014048582741_182019782_a.jpg,false,false,2681333096,Ross Fisher
