position,rank,team,salary,fetch_name,followers,username,full_name,profile_pic_url,is_verified,is_private,id,name
PG,1,Golden State Warriors,34382550,Stephen Curry,19947724,stephencurry30,Wardell Curry,https://scontent-lga3-1.cdninstagram.com/vp/8b3416493638228384e1e68957fc57e0/5B5BE99A/t51.2885-19/s150x150/22277378_1720913538216240_2580026733478543360_n.jpg,true,false,324599988,Stephen Curry
SF,2,Cleveland Cavaliers,33285709,LeBron James,36805157,kingjames,LeBron James,https://scontent-lga3-1.cdninstagram.com/vp/495a09e6681dcce76e4dc5976141bee1/5B6F0F98/t51.2885-19/s150x150/23101278_205354876676084_7533303492505501696_n.jpg,true,false,19410587,LeBron James
PF,3,Denver Nuggets,31269231,Paul Millsap,239239,paulmillsap4,Paul Millsap,https://scontent-lga3-1.cdninstagram.com/vp/3f186d14423d99a61ed9c41ef9765611/5B56ACC4/t51.2885-19/s150x150/26065332_376903382761307_6284017881147506688_n.jpg,true,false,268098118,Paul Millsap
PF,4,LA Clippers,29727900,Blake Griffin,3637217,blakegriffin23,Blake Griffin,https://scontent-lga3-1.cdninstagram.com/vp/6dea06cc7addd09f83c81a97fb4c3524/5B99F69C/t51.2885-19/s150x150/12479165_1551888441799849_695670375_a.jpg,true,false,26867055,Blake Griffin
SF,5,Boston Celtics,29727900,Gordon Hayward,1313761,gordonhayward,Gordon Hayward,https://scontent-lga3-1.cdninstagram.com/vp/2036fcef2d4f03a5bad235c9159dcb64/5B6DC721/t51.2885-19/s150x150/29737273_186756411957351_911646107526758400_n.jpg,true,false,17434027,Gordon Hayward
PG,6,Toronto Raptors,28703704,Kyle Lowry,1229195,kyle_lowry7,Kyle Lowry,https://scontent-lga3-1.cdninstagram.com/vp/27751c9c6d634bdb648118b6e24ccb2b/5B5878F1/t51.2885-19/s150x150/16583796_1393796284025151_3593897709804716032_a.jpg,true,false,1331661501,Kyle Lowry
PG,7,Memphis Grizzlies,28530608,Mike Conley,448844,mac11,Mike Conley,https://scontent-lga3-1.cdninstagram.com/vp/164925598137720380992501a23b1fec/5B5A9268/t51.2885-19/s150x150/22581948_1733235276971513_8687583924764803072_n.jpg,true,false,481422815,Mike Conley
PG,8,Oklahoma City Thunder,28530608,Russell Westbrook,10294848,russwest44,Russell Westbrook,https://scontent-lga3-1.cdninstagram.com/vp/c94b80d46e799be62948f28667df0ab3/5B627500/t51.2885-19/s150x150/16122419_907264242744262_40920541430808576_n.jpg,true,false,20650647,Russell Westbrook
PG,9,Houston Rockets,28299399,James Harden,7460294,jharden13,James Harden,https://scontent-lga3-1.cdninstagram.com/vp/ad86cbaa423bdd865ba5fe9783441a6c/5B7708A9/t51.2885-19/s150x150/21689035_1403393506440733_4771773979423670272_n.jpg,true,false,12043476,James Harden
SG,10,Toronto Raptors,27739975,DeMar DeRozan,2288993,demar_derozan,DeMar DeRozan,https://scontent-lga3-1.cdninstagram.com/vp/35a3117a9c4b94982ca4628580e8fb3b/5B9A4859/t51.2885-19/s150x150/20837062_1421856261266370_6009680963989143552_a.jpg,true,false,11032693,DeMar DeRozan
