rank,move,country,age,points,tournaments,fetch_name,followers,username,full_name,profile_pic_url,is_verified,is_private,id,name
1,0,ROU,26,8140,18,Simona Halep,615005,simonahalep,Simona Halep,https://scontent-lga3-1.cdninstagram.com/vp/6aae8c95354edd1e03a517236a24226b/5B5A0C5A/t51.2885-19/s150x150/28154246_183533012375426_6690289613749092352_n.jpg,true,false,2018323536,Simona Halep
2,0,DEN,27,6790,21,Caroline Wozniacki,1297748,carowozniacki,Caroline Wozniacki,https://scontent-lga3-1.cdninstagram.com/vp/6c7cf9cded9fd1bf1d91ad5fbc4d8097/5B6CC9E1/t51.2885-19/s150x150/26272497_163446937607602_4237405985385218048_n.jpg,true,false,1365811054,Caroline Wozniacki
3,0,ESP,24,6065,23,Garbiñe Muguruza,633794,garbimuguruza,Garbiñe Muguruza,https://scontent-lga3-1.cdninstagram.com/vp/8eb724da76bb5a08c0162e5d282541bb/5B69E9B8/t51.2885-19/s150x150/22280739_820382954803052_3925780291012001792_n.jpg,true,false,200288053,Garbiñe Muguruza
4,0,UKR,23,5630,18,Elina Svitolina,239634,elisvitolina,Elina Svitolina🤞🏼,https://scontent-lga3-1.cdninstagram.com/vp/715cdd9cfc573803573c17c1b6eff7de/5B614CA2/t51.2885-19/s150x150/30830889_814372852101164_3604117223708295168_n.jpg,true,false,334325163,Elina Svitolina
5,0,LAT,20,5307,21,Jelena Ostapenko,156016,jelena.ostapenko,Jelena Ostapenko,https://scontent-lga3-1.cdninstagram.com/vp/d56d3edd1ac1788d325d167274ce4edc/5B585BA4/t51.2885-19/s150x150/20902718_2006556846230079_3673437016613191680_a.jpg,true,false,33106168,Jelena Ostapenko
6,0,CZE,26,4730,20,Karolina Pliskova,251166,karolinapliskova,Karolina Pliskova,https://scontent-lga3-1.cdninstagram.com/vp/a2b21752b7d297fdb8a1eecb5105e718/5B6D76A1/t51.2885-19/s150x150/15035640_724312007731131_3273713541474942976_a.jpg,true,false,365698416,Karolina Pliskova
7,0,FRA,24,4615,23,Caroline Garcia,107189,carogarcia,Caroline Garcia,https://scontent-lga3-1.cdninstagram.com/vp/ab5e7b373368d5a55b6169f374ff2e6f/5B6455F8/t51.2885-19/s150x150/26187386_158931728080630_7539331449040666624_n.jpg,true,false,865196041,Caroline Garcia
8,0,USA,37,4276,14,Venus Williams,943625,venuswilliams,Venus Williams,https://scontent-lga3-1.cdninstagram.com/vp/7518f3048bd21f9c4d345742533c081d/5B578897/t51.2885-19/10809998_851866508237552_65806725_a.jpg,true,false,28850756,Venus Williams
9,0,USA,25,3938,13,Sloane Stephens,260991,sloanestephens,Sloane Stephens,https://scontent-lga3-1.cdninstagram.com/vp/06ee329eb47e18ca3ed78df2c6327244/5B6373B6/t51.2885-19/s150x150/26867633_2012408432364420_8549292553428533248_n.jpg,true,false,52386900,Sloane Stephens
10,0,CZE,28,3271,19,Petra Kvitova,356257,petra.kvitova,Petra Kvitova,https://scontent-lga3-1.cdninstagram.com/vp/7ff4613401a95d17e61e727573e1558d/5B593124/t51.2885-19/s150x150/15877437_547187212151572_3369282190218100736_a.jpg,true,false,1522019190,Petra Kvitova
11,0,GER,29,2980,24,Julia Goerges,71735,julia.goerges,Julia Goerges✌️🇩🇪,https://scontent-lga3-1.cdninstagram.com/vp/db4c38ec19ad639100a46a3b41d7d780/5B9CB3E9/t51.2885-19/s150x150/29087629_1886964691316013_5282843596947456000_n.jpg,true,false,1270202370,Julia Goerges
12,0,GER,30,2971,20,Angelique Kerber,459432,angie.kerber,Angelique Kerber,https://scontent-lga3-1.cdninstagram.com/vp/080b87c884c1c9bee1fb53926da55eee/5B66D0F9/t51.2885-19/s150x150/14359329_1753387704919238_147524457_a.jpg,true,false,2373309295,Angelique Kerber
13,0,USA,23,2722,17,Madison Keys,151461,madisonkeys,Madison Keys,https://scontent-lga3-1.cdninstagram.com/vp/4b15c723e084a1951f390ba6c9183e36/5B77CA7D/t51.2885-19/s150x150/17077209_369830496734001_1353738996953382912_a.jpg,true,false,234528770,Madison Keys
14,0,RUS,20,2570,22,Daria Kasatkina,77612,kasatkina,Daria Kasatkina🐬,https://scontent-lga3-1.cdninstagram.com/vp/c1962a673d7717855c5e0a881665ea72/5B7B68F7/t51.2885-19/s150x150/30076505_393224351195658_71646647272079360_n.jpg,true,false,15051654,Daria Kasatkina
15,0,LAT,28,2545,24,Anastasija Sevastova,9668,nastysevastova,Anastasija Sevastova,https://scontent-lga3-1.cdninstagram.com/vp/33ce2fd39298893dd871fd9f47b5adc4/5B649FC8/t51.2885-19/s150x150/30079857_193551577928574_6806391410212732928_n.jpg,true,false,1813834825,Anastasija Sevastova
16,0,USA,26,2488,17,Coco Vandeweghe,63933,cocovandey,CoCo Vandeweghe,https://scontent-lga3-1.cdninstagram.com/vp/617f376dce842257b32d767416387005/5B7BA754/t51.2885-19/11850118_801319379982402_1753230955_a.jpg,true,false,281101007,Coco Vandeweghe
17,0,BEL,22,2420,25,Elise Mertens,18065,mertenselise,Elise Mertens,https://scontent-lga3-1.cdninstagram.com/vp/0fa550da279047ec834b56399871b292/5B79CBA4/t51.2885-19/s150x150/30086115_1808393346135517_4637166736544628736_n.jpg,true,false,359688363,Elise Mertens
18,0,SVK,29,2350,23,Magdalena Rybarikova,16415,magdalena_rybarikova,Magdalena Rybarikova,https://scontent-lga3-1.cdninstagram.com/vp/2234b0cd35fb5da0c9d5a9ff76c76f19/5B632F9E/t51.2885-19/s150x150/21373484_112741156133587_3605201221914198016_a.jpg,false,false,348019456,Magdalena Rybarikova
19,0,AUS,21,2318,18,Ashleigh Barty,91,ashleighbarty,Ashleigh Barty,https://scontent-lga3-1.cdninstagram.com/vp/e1fde659895f9918c314c3be4b63099a/5B6FABA1/t51.2885-19/s150x150/26865437_1762807620690118_3071430004991590400_n.jpg,false,false,6943733745,Ashleigh Barty
20,0,FRA,24,2280,29,Kristina Mladenovic,228467,kristinamladenovic93,Kristina Mladenovic,https://scontent-lga3-1.cdninstagram.com/vp/33a301a789dc0dcbc8a78bc57cd2519e/5B9942D9/t51.2885-19/s150x150/28763984_157237744976507_2434927929172426752_n.jpg,true,false,1188465143,Kristina Mladenovic
21,0,NED,26,2135,26,Kiki Bertens,23714,kikibertens,Kiki Bertens,https://scontent-lga3-1.cdninstagram.com/vp/10b0d9621bde61d147d76d187dbbb8a3/5B546184/t51.2885-19/s150x150/26073443_1940969872825815_7765283485140385792_n.jpg,true,false,516609640,Kiki Bertens
22,0,JPN,20,2105,24,Naomi Osaka,58342,naomiosakatennis,Naomi Osaka 大坂なおみ,https://scontent-lga3-1.cdninstagram.com/vp/bac52396f05edf05232593c9f1469c31/5B62E742/t51.2885-19/s150x150/29717728_578817182475408_5166863348058292224_n.jpg,true,false,1286557221,Naomi Osaka
23,0,GBR,26,1995,22,Johanna Konta,96290,johannakonta,Johanna Konta,https://scontent-lga3-1.cdninstagram.com/vp/6ae544593daa6262c1e128d6b20274ee/5B5752ED/t51.2885-19/s150x150/13712680_1545048395565817_1492907936_a.jpg,true,false,543837006,Johanna Konta
24,0,AUS,24,1925,23,Daria Gavrilova,102103,daria_gav,Daria Gavrilova,https://scontent-lga3-1.cdninstagram.com/vp/c80ed787ecbcd0af262aef654cf7e710/5B59984C/t51.2885-19/s150x150/28764920_1784519271569870_7659327625495576576_n.jpg,true,false,17195805,Daria Gavrilova
25,0,ESP,29,1910,24,Carla Suárez Navarro,0,carlatu_amor,Carla Suarez Navarro,https://scontent-lga3-1.cdninstagram.com/vp/20218990420f000be39722690c2d2af8/5B5B8445/t51.2885-19/s150x150/28435582_1714035885323312_4324458156362039296_n.jpg,false,false,7208057948,Carla Suárez Navarro
26,0,CZE,32,1765,24,Barbora Strycova,63307,barborastrycova,Barbora Strycova🐝,https://scontent-lga3-1.cdninstagram.com/vp/614b14701f758f8ac6c4403fe5bcefda/5B695F1D/t51.2885-19/s150x150/17076158_1847205735533060_1574485339416821760_a.jpg,true,false,276129413,Barbora Strycova
27,0,RUS,26,1700,24,Anastasia Pavlyuchenkova,61674,nastia_pav,Anastasia Pavlyuchenkova,https://scontent-lga3-1.cdninstagram.com/vp/a420efeba19eea18d23f151a40353196/5B66C888/t51.2885-19/s150x150/30080062_205640953546391_2014938509114081280_n.jpg,true,false,18959212,Anastasia Pavlyuchenkova
28,0,RUS,32,1613,15,Svetlana Kuznetsova,103606,svetlanak27,Svetlana Kuznetsova/ Кузнецова,https://scontent-lga3-1.cdninstagram.com/vp/908cde470e13c71de7e443743029c14c/5B588B25/t51.2885-19/s150x150/27580923_2036953903260468_7925026568852733952_n.jpg,true,false,208770054,Svetlana Kuznetsova
29,0,POL,29,1525,20,Agnieszka Radwanska,3086,radwanskaagnieszka,Agnieszka Radwańska,https://scontent-lga3-1.cdninstagram.com/vp/f3e123b3af827c57e4c64775161efa7b/5B66BC9E/t51.2885-19/11250042_1478167205838145_545052062_a.jpg,false,false,1074099864,Agnieszka Radwanska
30,0,CHN,29,1500,29,Shuai Zhang,758,bunnyixingiiexo,zhang yixing zhang jia shuai ♡,https://scontent-lga3-1.cdninstagram.com/vp/6346d428c875decd356989b13fa64e5e/5B6E1144/t51.2885-19/s150x150/28156028_550343408697343_1259677989105303552_n.jpg,false,false,6077942749,Shuai Zhang
31,0,EST,22,1475,23,Anett Kontaveit,23230,anett_kontaveit,Anett Kontaveit,https://scontent-lga3-1.cdninstagram.com/vp/faad5ad9a90ba3c09f6516ad126e56d6/5B68B9CB/t51.2885-19/s150x150/30914124_234995507057767_392861049407143936_n.jpg,true,false,184612370,Anett Kontaveit
32,0,RUS,29,1380,21,Ekaterina Makarova,51193,katemakarova1,Ekaterina Makarova,https://scontent-lga3-1.cdninstagram.com/vp/91c2c2b480d32719606749311145998a/5B656CC9/t51.2885-19/s150x150/14574245_175176659603188_8938312574928158720_a.jpg,true,false,1522603751,Ekaterina Makarova
