name,rank,position,team,salary_2017
Richard Sherman,25,DB,SEA,11431000
Kirk Cousins,1,QB,WAS,23943600
Trumaine Johnson,2,CB,LAR,16742400
Josh Norman,3,CB,WAS,16500000
Von Miller,4,LB,DEN,16500000
Justin Houston,5,LB,KAN,16350000
Matt Ryan,6,QB,ATL,15750000
Carson Palmer,7,QB,ARI,15500000
Muhammad Wilkerson,8,DT,NYJ,14750000
Sam Bradford,9,QB,MIN,14000000
Malik Jackson,10,DT,JAX,13500000
Gerald McCoy,11,DT,TAM,13250000
Cam Newton,12,QB,CAR,13166666
Andy Dalton,13,QB,CIN,13100000
Eli Manning,14,QB,NYG,13000000
Drew Brees,15,QB,NOR,13000000
Dez Bryant,16,WR,DAL,13000000
Janoris Jenkins,17,CB,NYG,12900000
Ezekiel Ansah,18,DE,DET,12734000
Russell Wilson,19,QB,SEA,12600000
Aaron Rodgers,20,QB,GNB,12550000
Le'Veon Bell,21,RB,PIT,12120000
Ben Roethlisberger,22,QB,PIT,12000000
Olivier Vernon,23,DE,NYG,11750000
Julio Jones,24,WR,ATL,11500000
Trent Williams,26,T,WAS,11250000
Philip Rivers,28,QB,LAC,11000000
Aqib Talib,29,DB,DEN,11000000
Larry Fitzgerald,27,WR,ARI,11000000
Alex Smith,30,QB,KAN,10800000
J.J. Watt,31,DE,HOU,10500000
A.J. Green,32,WR,CIN,10300000
Clay Matthews,33,LB,GNB,10100000
Ndamukong Suh,34,DT,MIA,9985000
Patrick Peterson,35,CB,ARI,9750000
Marcell Dareus,36,DT,2TM,9750000
Duane Brown,37,G,2TM,9400000
Calais Campbell,40,DE,JAX,9000000
Vontae Davis,39,DB,IND,9000000
Cordy Glenn,38,T,BUF,9000000
Justin Pugh,41,OG,NYG,8821000
Joe Thomas,42,T,CLE,8800000
Damon Harrison,43,DT,NYG,8750000
Randall Cobb,44,WR,GNB,8600000
Earl Thomas,47,DB,SEA,8500000
Demaryius Thomas,46,WR,DEN,8500000
Byron Maxwell,45,DB,2TM,8500000
Alec Ogletree,48,OLB,LAR,8369000
Ryan Kerrigan,50,DE,WAS,8250000
Joe Staley,51,T,SFO,8250000
Jordy Nelson,49,WR,GNB,8250000
Sheldon Richardson,52,DT,SEA,8069000
Xavier Rhodes,53,CB,MIN,8026000
Corey Liuget,54,DT,LAC,8000000
T.Y. Hilton,55,WR,IND,8000000
DeAndre Hopkins,58,WR,HOU,8000000
Mike Glennon,56,QB,CHI,8000000
Mike Iupati,57,G,ARI,8000000
Mike Pouncey,59,OL,MIA,7950000
Jimmy Graham,60,TE,SEA,7900000
Lane Johnson,61,OT,PHI,7750000
Maurkice Pouncey,63,C,PIT,7500000
Andrew Whitworth,64,T,LAR,7500000
Tyrod Taylor,65,QB,BUF,7500000
Dontari Poe,62,DT,ATL,7500000
Chris Harris,67,CB,DEN,7400000
Jason Witten,66,TE,DAL,7400000
Luke Kuechly,68,ILB,CAR,7363324
Geno Atkins,69,DT,CIN,7300000
Tyrone Crawford,70,DE,DAL,7250000
Vinny Curry,71,DE,PHI,7000000
Cameron Jordan,76,DE,NOR,7000000
Allen Hurns,73,WR,JAX,7000000
Marvin Jones,75,WR,DET,7000000
Akiem Hicks,72,DE,CHI,7000000
Chandler Jones,74,DE,ARI,7000000
Dominique Rodgers-Cromartie,77,DB,NYG,6980000
Pernell McPhee,78,DL,CHI,6950000
Cameron Wake,79,LB,MIA,6875000
Eric Fisher,80,OT,KAN,6857977
Star Lotulelei,81,DT,CAR,6757000
Emmanuel Sanders,82,WR,DEN,6750000
Kelechi Osemele,83,T,OAK,6700000
Bennie Logan,84,DT,KAN,6680000
Vontaze Burfict,85,LB,CIN,6535529
DeSean Jackson,86,WR,TAM,6500000
Michael Bennett,91,DE,SEA,6500000
Brandon Graham,92,DE,PHI,6500000
Rodney Hudson,90,OL,OAK,6500000
Nate Solder,93,T,NWE,6500000
Devin McCourty,96,DB,NWE,6500000
Jermey Parnell,89,T,JAX,6500000
Johnathan Joseph,94,DB,HOU,6500000
Kareem Jackson,95,DB,HOU,6500000
Greg Olsen,87,TE,CAR,6500000
Jared Veldheer,88,T,ARI,6500000
Kyle Williams,97,DT,BUF,6300000
DeMarco Murray,99,RB,TEN,6250000
Michael Crabtree,100,WR,OAK,6250000
Kyle Long,98,OT,CHI,6250000
Brian Orakpo,101,LB,TEN,6200000
Riley Reiff,102,OT,MIN,6200000
Robert Quinn,103,DE,LAR,6161616
Adam Jones,104,DB,CIN,6023529
Derrick Morgan,110,DE,TEN,6000000
Brent Grimes,112,DB,TAM,6000000
Lavonte David,113,OLB,TAM,6000000
Malcolm Jenkins,117,DB,PHI,6000000
Buster Skrine,111,DB,NYJ,6000000
Golden Tate,114,WR,DET,6000000
Darian Stewart,116,DB,DEN,6000000
Kevin Zeitler,108,G,CLE,6000000
Kawann Short,107,DT,CAR,6000000
LeSean McCoy,105,RB,BUF,6000000
Joe Flacco,106,QB,BAL,6000000
Marshal Yanda,109,T,BAL,6000000
Mohamed Sanu,115,WR,ATL,6000000
K.J. Wright,118,LB,SEA,5800000
Donald Penn,119,T,OAK,5800000
Coby Fleener,120,TE,NOR,5800000
Doug Martin,121,RB,TAM,5764706
Tamba Hali,122,DE,KAN,5750000
Alex Mack,123,C,ATL,5750000
Eric Reid,125,FS,SFO,5676000
Kenny Vaccaro,124,FS,NOR,5676000
Julius Thomas,126,TE,MIA,5500000
Brandon Linder,127,OG,JAX,5500000
Lamar Miller,129,RB,HOU,5500000
Haloti Ngata,128,DT,DET,5500000
Derek Wolfe,130,DT,DEN,5500000
Bryan Bulaga,132,T,GNB,5400000
Jerry Hughes,131,DE,BUF,5400000
Carlos Dunlap,133,DE,CIN,5350000
Gabe Jackson,135,OG,OAK,5250000
Travis Benjamin,136,WR,LAC,5250000
Andy Levitre,134,G,ATL,5250000
Kyle Rudolph,137,TE,MIN,5150000
Harrison Smith,138,FS,MIN,5150000
Rishard Matthews,140,WR,TEN,5000000
Logan Ryan,143,CB,TEN,5000000
Mike Mitchell,142,DB,PIT,5000000
Jason Kelce,139,OL,PHI,5000000
Brandon Brooks,150,G,PHI,5000000
Sean Smith,144,DB,OAK,5000000
Derek Carr,146,QB,OAK,5000000
Jay Cutler,147,QB,MIA,5000000
Mark Barron,149,LB,LAR,5000000
Melvin Ingram,145,DE,LAC,5000000
Barry Church,141,DB,JAX,5000000
Tashaun Gipson,148,DB,JAX,5000000
Mitchell Schwartz,151,T,KAN,4900000
Mychal Kendricks,152,ILB,PHI,4850000
Rodger Saffold,153,T,LAR,4847233
Tyler Eifert,154,TE,CIN,4782000
Jeff Allen,157,T,HOU,4750000
Morgan Burnett,159,DB,GNB,4750000
Jamie Collins,158,OLB,CLE,4750000
Mike Wallace,155,WR,BAL,4750000
Tyrann Mathieu,156,CB,ARI,4750000
Josh Sitton,160,G,CHI,4650000
Cliff Avril,164,DE,SEA,4500000
Bruce Irvin,166,DE,OAK,4500000
Stephon Gilmore,161,CB,NWE,4500000
Joe Barksdale,162,OL,LAC,4500000
Antonio Gates,168,TE,LAC,4500000
Chris Ivory,165,RB,JAX,4500000
Whitney Mercilus,167,DE,HOU,4500000
Charles Clay,163,TE,BUF,4500000
James Carpenter,169,OL,NYJ,4450000
Demar Dotson,170,T,TAM,4250000
Rob Gronkowski,171,TE,NWE,4250000
Delanie Walker,172,TE,TEN,4200000
Terron Armstead,173,OT,NOR,4200000
Bobby Massie,174,T,CHI,4200000
Darius Slay,176,CB,DET,4100000
Brooks Reed,175,DL,ATL,4100000
Dustin Colquitt,178,P,KAN,4050000
Clint Boling,177,OL,CIN,4050000
Shawn Lauvao,187,G,WAS,4000000
Robert Ayers,185,DE,TAM,4000000
Bobby Wagner,186,ILB,SEA,4000000
Jeremy Lane,192,CB,SEA,4000000
Marcus Gilbert,182,OL,PIT,4000000
Nigel Bradham,183,OLB,PHI,4000000
Darren Sproles,184,RB,PHI,4000000
Torrey Smith,190,WR,PHI,4000000
Matt Forte,188,RB,NYJ,4000000
Marcedes Lewis,181,TE,JAX,4000000
George Iloka,179,FS,CIN,4000000
Terrell Suggs,180,LB-DE,BAL,4000000
Eric Weddle,189,DB,BAL,4000000
Kenny Britt,191,WR,2TM,4000000
Paul Posluszny,193,LB,JAX,3950000
Malcolm Butler,194,CB,NWE,3910000
Brian Robison,195,DE,MIN,3900000
Ron Parker,196,CB,KAN,3900000
Allen Bailey,197,DL,KAN,3900000
Christian Kirksey,198,OLB,CLE,3797000
Jordan Reed,202,TE,WAS,3750000
J.R. Sweezy,199,G,TAM,3750000
Bilal Powell,203,RB,NYJ,3750000
Jerrell Freeman,200,LB,CHI,3750000
Adrian Clayborn,201,DL,ATL,3750000
Pierre Garcon,204,WR,SFO,3675000
Michael Johnson,205,DE,CIN,3550000
Ben Jones,209,C,TEN,3500000
Tavon Austin,206,WR,LAR,3500000
Frank Gore,208,RB,IND,3500000
Cole Beasley,210,WR,DAL,3500000
Prince Amukamara,207,CB,CHI,3500000
Brandon Mebane,211,DT,LAC,3350000
Greg Robinson,212,OT,DET,3322377
Casey Hayward,213,DB,LAC,3250000
