name,rank,rank_last_week,events,avg_points,total_points,points_lost,points_gained,country
Dustin Johnson,1,1,45,9.85,443.08,-143.63,118.31,USA
Justin Thomas,2,2,51,9.46,482.46,-98.29,146.00,USA
Jordan Spieth,3,3,48,8.77,420.91,-112.08,91.02,USA
Jon Rahm,4,4,46,8.73,401.57,-67.40,146.80,ESP
Justin Rose,5,5,45,7.54,339.14,-72.40,58.83,ENG
Rickie Fowler,6,6,47,7.29,342.55,-72.47,88.85,USA
Rory McIlroy,7,7,41,6.73,276.08,-80.04,130.59,NIR
Hideki Matsuyama,8,8,47,6.64,312.08,-106.12,30.14,JPN
Brooks Koepka,9,9,40,5.73,229.24,-70.51,2.30,USA
Sergio Garcia,10,10,44,5.62,247.47,-70.11,68.33,ESP
Patrick Reed,11,11,52,5.53,287.56,-59.68,153.12,USA
Tommy Fleetwood,12,12,52,5.47,284.51,-50.64,98.10,ENG
Jason Day,13,13,40,5.44,217.66,-80.90,86.75,AUS
Henrik Stenson,14,14,44,5.40,237.77,-82.28,60.40,SWE
Paul Casey,15,15,48,5.34,256.27,-63.00,89.48,ENG
Marc Leishman,16,16,52,4.95,257.59,-56.83,48.49,AUS
Alex Noren,17,17,51,4.78,243.71,-58.42,95.07,SWE
Bubba Watson,18,18,46,4.61,212.04,-28.88,169.59,USA
Tyrrell Hatton,19,19,52,4.49,233.22,-58.81,60.55,ENG
Phil Mickelson,20,20,47,4.47,210.26,-42.96,128.00,USA
Matt Kuchar,21,21,52,4.18,217.36,-67.80,41.74,USA
Pat Perez,22,22,40,4.08,163.14,-35.20,27.52,USA
Brian Harman,23,23,52,3.91,203.38,-39.14,69.66,USA
Kevin Kisner,24,24,52,3.84,199.85,-40.62,66.46,USA
Rafa Cabrera Bello,25,25,52,3.84,199.84,-57.34,46.22,ESP
Charley Hoffman,26,26,52,3.48,180.85,-47.08,31.89,USA
Satoshi Kodaira,27,27,52,3.47,180.23,-24.35,82.98,JPN
Xander Schauffele,28,28,52,3.44,178.77,-33.21,32.56,USA
Ian Poulter,29,29,49,3.40,166.44,-22.80,81.83,ENG
Louis Oosthuizen,30,30,43,3.39,145.90,-47.82,28.82,RSA
Kiradech Aphibarnrat,31,31,52,3.26,169.33,-23.99,70.86,THA
Francesco Molinari,32,32,51,3.23,164.94,-49.59,22.29,ITA
Tony Finau,33,33,52,3.22,167.61,-33.64,67.23,USA
Patrick Cantlay,34,34,40,3.15,126.15,-18.54,40.16,USA
Branden Grace,35,35,52,3.15,163.96,-46.55,49.99,RSA
Gary Woodland,36,36,52,3.07,159.73,-35.56,79.12,USA
Daniel Berger,37,37,50,2.99,149.68,-46.91,33.72,USA
Matthew Fitzpatrick,38,38,52,2.95,153.19,-41.65,32.08,ENG
Si Woo Kim,39,39,52,2.89,150.23,-37.48,54.91,KOR
Cameron Smith,40,40,52,2.89,150.18,-20.73,61.30,AUS
Webb Simpson,41,41,52,2.83,147.30,-31.76,55.68,USA
Ross Fisher,42,42,52,2.78,144.59,-34.02,36.90,ENG
Kevin Chappell,43,43,52,2.71,140.87,-47.50,38.34,USA
HaoTong Li,44,44,52,2.63,137.00,-24.84,54.60,CHN
Adam Hadwin,45,45,52,2.63,136.97,-29.05,55.36,CAN
Brendan Steele,46,46,48,2.58,124.04,-31.69,38.83,USA
Kyle Stanley,47,47,52,2.53,131.62,-26.34,35.10,USA
Bryson DeChambeau,48,48,52,2.48,129.16,-20.28,72.96,USA
Chez Reavie,49,49,52,2.45,127.20,-19.31,68.43,USA
