name,rank,caps,team,appearance,position
Richie McCaw,1,148,New Zealand,2001–2015,Flanker
Brian O'Driscoll,2,141,"Ireland (133)
British and Irish Lions (8)",1999–2014,Centre
George Gregan,3,139,Australia,1994–2007,Scrum-half
Gethin Jenkins,4,134,"Wales (129)
British and Irish Lions (5)",2002–,Prop
Sergio Parisse,5,134,Italy,2002–,Number 8
Keven Mealamu,6,132,New Zealand,2002–2015,Hooker
Ronan O'Gara,7,130,"Ireland (128)
British and Irish Lions (2)",2000–2013,Fly-half
Stephen Moore,8,129,Australia,2005–2017,Hooker
Victor Matfield,9,127,South Africa,2001–2015,Lock
Alun Wyn Jones,10,126,"Wales (117)
British and Irish Lions (9)",2006–,Lock
Bryan Habana,11,124,South Africa,2004–,Wing
Martin Castrogiovanni,12,119,Italy,2002–2016,Prop
Jason Leonard,13,119,"England (114)
British and Irish Lions (5)",1990–2004,Prop
Fabien Pelous,14,118,France,1995–2007,Lock
Tony Woodcock,15,118,New Zealand,2002–2015,Prop
Adam Ashley-Cooper,16,116,Australia,2005–,Centre / Wing
Nathan Sharpe,17,116,Australia,2002–2012,Lock
Paul O'Connell,18,115,"Ireland (108)
British and Irish Lions (7)",2002–2015,Lock
Marco Bortolami,19,112,Italy,2001–2015,Lock
Dan Carter,20,112,New Zealand,2003–2015,Fly-half
Rory Best,21,111,Ireland,2005–,Hooker
Ross Ford,22,111,"Scotland (110)
British and Irish Lions (1)",2004–,Hooker
Philippe Sella,23,111,France,1982–1995,Centre
John Smit,24,111,South Africa,2000–2011,Hooker[25]
George Smith,25,111,Australia,2000–2013,Flanker
Florin Vlaicu,26,111,Romania,2006-,Centre
Stephen Jones,27,110,"Wales (104)
British and Irish Lions (6)",1998–2011,Fly-half
Merab Kvirikashvili,28,110,Georgia,2003-,Fullback
Jean de Villiers,29,109,South Africa,2004–2015,Centre
Davit Kacharava,30,109,Georgia,2006-,Centre
Chris Paterson,31,109,Scotland,1999–2011,Full-back
Kieran Read,32,109,New Zealand,2008-,Number 8
John Hayes,33,107,"Ireland (105)
British and Irish Lions (2)",2000–2011,Prop
Mauro Bergamasco,34,106,Italy,1998–2015,Flanker
Sean Lamont,35,105,Scotland,2004–2016,Wing
Martyn Williams,36,104,"Wales (100)
British and Irish Lions (4)",1996–2012,Flanker
Alessandro Zanni,37,104,Italy,2005–,Flanker
Cătălin Fercu,38,103,Romania,2005–,Fullback
Matt Giteau,39,103,Australia,2002–2016,Fly-half
Andrea Lo Cicero Vaina,40,103,Italy,2000–2013,Prop
Ma'a Nonu,41,103,New Zealand,2003–2015,Centre
Gareth Thomas,42,103,"Wales (100)
British and Irish Lions (3)",1995–2007,Utility back
Stephen Larkham,43,102,Australia,1996–2007,Fly-half
Percy Montgomery,44,102,South Africa,1997–2008,Fullback
David Campese,45,101,Australia,1982–1996,Wing
Alessandro Troncon,46,101,Italy,1994–2007,Scrum-half
Vasco Uva,47,101,Portugal,2003–,Flanker
Giorgi Chkhaidze,48,100,Georgia,2002-,Number 8
Jamie Heaslip,49,100,"Ireland (95)
British and Irish Lions (5)",2006-2017,Number 8
Adam Jones,50,100,"Wales (95)
British and Irish Lions (5)",2002–2014,Prop
Mils Muliaina,51,100,New Zealand,2003–2011,Fullback
Gonçalo Uva,52,100,Portugal,2004–,Lock
Mike Phillips,53,99,"Wales (94)
British and Irish Lions (5)",2003–2015,Scrum-half
Raphaël Ibañez,54,98,France,1996–2007,Hooker
Tendai Mtawarira,55,98,South Africa,2008-,Prop
Donncha O'Callaghan,56,98,"Ireland (94)
British and Irish Lions (4)",2003–2013,Lock
Hitoshi Ono,57,98,Japan,2004–,Lock
Peter Stringer,58,98,Ireland,2000–2011,Scrum-half
Valentin Calafeteanu,59,97,Romania,2004-,Scrum-half
Victor Gresev,60,97,Russia,2006-,Flanker
Yuri Kushnarev,61,97,Russia,2005-,Fullback
Jamie Roberts,62,97,"Wales (94)
British and Irish Lions (3)",2008-,Centre
Jonny Wilkinson,63,97,"England (91)
British and Irish Lions (6)",1998–2011,Fly-half
Colin Charvis,64,96,"Wales (94)
British and Irish Lions (2)",1996–2007,Flanker
Sam Whitelock,65,96,New Zealand,2010-,Lock
Owen Franks,66,95,New Zealand,2009-,Prop
Andrea Masi,67,95,Italy,1999–2015,Centre
Leonardo Ghiraldini,68,94,Italy,2006-,Hooker
Conrad Smith,69,94,New Zealand,2004–2015,Centre
Serge Blanco,70,93,France,1980–1991,Fullback
Dylan Hartley,71,93,England,2008-,Hooker
Sean Fitzpatrick,72,92,New Zealand,1986–1997,Hooker
Martin Johnson,73,92,"England (84)
British and Irish Lions (8)",1993–2003,Lock
Gareth Llewellyn,74,92,Wales,1989–2005,Lock
Malcolm O'Kelly,75,92,Ireland,1997–2009,Lock
Cristian Petre,76,92,Romania,2001–2012,Lock
Neil Jenkins,77,91,"Wales (87)
British and Irish Lions (4)",1990–2003,Fly-half
Sekope Kepu,78,91,Australia,2008-,Prop
Rory Underwood,79,91,"England (85)
British and Irish Lions (6)",1984–1996,Wing
Shane Williams,80,91,"Wales (87)
British and Irish Lions (4)",2000–2011,Wing
