name,rank,ch,age,country,points,win/lose,lose,tournament,prev_tourn,next_pts,max_pts
Rafael Nadal,1,CH,32,ESP1,8770,-,-,Barcelona R32,Monte Carlo W,-,-
Roger Federer,2,1,37,SUI1,8670,-,-,-,-,-,-
Alexander Zverev,3,CH,21,GER1,5195,1,270,-,Lost in Monte Carlo SF,-,-
Marin Čilić,4,3,30,CRO1,4985,-1,-,-,Lost in Monte Carlo QF,-,-
Grigor Dimitrov,5,3,27,BUL1,4950,-,315,Barcelona R32,Lost in Monte Carlo SF,-,-
Juan Martín del Potro,6,4,30,ARG1,4470,-,-,-,-,-,-
Dominic Thiem,7,4,25,AUT1,3755,-,90,Barcelona R32,Lost in Monte Carlo QF,-,-
Kevin Anderson,8,CH,32,RSA1,3390,-,-,-,-,-,-
John Isner,9,CH,33,USA1,3125,-,-,-,-,-,-
David Goffin,10,7,27,BEL1,2930,-,-180,Barcelona R32,Lost in Monte Carlo QF,-,-
Pablo Carreño Busta,11,10,27,ESP2,2305,1,-90,Barcelona R32,-,-,-
Novak Djokovic,12,1,31,SRB1,2220,1,-90,Barcelona R32,Lost in Monte Carlo R16,-,-
Sam Querrey,13,11,31,USA2,2220,1,-,-,-,-,-
Lucas Pouille,14,10,24,FRA1,2200,-3,-210,Budapest R16,Lost in Monte Carlo R32,-,-
Roberto Bautista Agut,15,13,30,ESP3,2175,1,-,Barcelona R32,Lost in Monte Carlo R16,-,-
Jack Sock,16,8,26,USA3,2155,1,-,-,-,-,-
Diego Schwartzman,17,15,26,ARG2,2130,-2,-90,Barcelona R32,Lost in Monte Carlo R32,-,-
Tomáš Berdych,18,4,33,CZE1,2060,-,-80,-,Lost in Monte Carlo R64,-,-
Hyeon Chung,19,CH,22,KOR1,1897,-,-,Barcelona R32,-,-,-
Fabio Fognini,20,13,31,ITA1,1840,-,-,-,Lost in Monte Carlo R32,-,-
Milos Raonic,21,3,27,CAN1,1835,1,70,-,Lost in Monte Carlo R16(R64  ),-,-
Kei Nishikori,22,4,28,JPN1,1835,14,555,Barcelona R32,Lost in Monte Carlo F,-,-
Kyle Edmund,23,CH,23.2,GBR1,1732,-,-25,-,Lost in Monte Carlo R64,-,-
Nick Kyrgios,24,13,22.9,AUS1,1720,1,-,-,-,-,-
Stan Wawrinka,25,3,33,SUI2,1695,-4,-90,-,-,-,-
Filip Krajinović,26,NCH    (27),26.1,SRB2,1616,1,-,-,-,-,-
Adrian Mannarino,27,22,29.8,FRA2,1585,-1,-70,Barcelona R32,Lost in Monte Carlo R64,-,-
Gilles Müller,28,21,34.9,LUX1,1465,-,-,-,Lost in Monte Carlo R32,-,-
Richard Gasquet,29,7,31.8,FRA3,1430,5,90,Budapest R16,Lost in Monte Carlo QF,-,-
Feliciano López,30,12,36.5,ESP4,1420,-,-,Barcelona R32,Lost in Monte Carlo R32,-,-
Andrey Rublev,31,CH,20.5,RUS1,1417,2,39,Barcelona R32,Lost in Monte Carlo R32,-,-
Damir Džumhur,32,29,25.9,BIH1,1415,-1,-,Budapest R16,Lost in Monte Carlo R64,-,-
David Ferrer,33,3,36,ESP5,1405,-1,-,-,-,-,-
Andy Murray,34,1,30.9,GBR2,1360,-5,-90,-,-,-,-
Philipp Kohlschreiber,35,16,34.5,GER2,1320,5,90,-,Lost in Monte Carlo R16,-,-
Fernando Verdasco,36,7,34.4,ESP6,1305,1,25,Barcelona R32,Lost in Monte Carlo R32,-,-
Karen Khachanov,37,29,21.9,RUS2,1300,1,45,Barcelona R32,Lost in Monte Carlo R16,-,-
Borna Ćorić,38,28,21.4,CRO2,1296,1,45,-,Lost in Monte Carlo R32,-,-
Jo-Wilfried Tsonga,39,5,33,FRA4,1290,-4,-10,-,-,-,-
Albert Ramos Viñolas,40,17,30.2,ESP7,1190,-16,-555,Barcelona R32,Lost in Monte Carlo R32(R64  ),-,-
Gaël Monfils,41,6,31.6,FRA5,1175,1,-,-,-,-,-
Yūichi Sugita,42,36,29.5,JPN2,1154,1,-6,Barcelona R64,Lost in Monte Carlo R64,-,-
Denis Shapovalov,43,NCH    (44),19,CAN2,1128,2,10,Budapest R16,Lost in Monte Carlo R64,-,-
Robin Haase,44,33,31,NED1,1120,-,-,-,Lost in Monte Carlo R64,-,-
Leonardo Mayer,45,21,30.9,ARG3,1073,1,-,Barcelona R64,-,-,-
Pablo Cuevas,46,19,32.3,URU1,1040,-5,-170,Barcelona R64,Lost in Monte Carlo R64,-,-
Benoît Paire,47,18,28.9,FRA6,1020,1,-,Barcelona R64,Lost in Monte Carlo R64,-,-
Daniil Medvedev,48,CH,22.1,RUS3,1019,1,35,-,Lost in Monte Carlo R32,-,-
Tennys Sandgren,49,47,26.7,USA4,993,-2,-40,Barcelona R64,Lost in Monte Carlo R64,-,-
Peter Gojowczyk,50,49,28.7,GER3,979,-,-,Barcelona R64,Lost in Monte Carlo R64,-,-
Jared Donaldson,51,48,21.5,USA5,977,-,-,Barcelona R64,Lost in Monte Carlo R64,-,-
Mischa Zverev,52,25,30.6,GER4,977,3,45,Barcelona R64,Lost in Monte Carlo R16(R32  ),-,-
Steve Johnson,53,21,28.3,USA6,975,-1,-,-,-,-,-
Alexandr Dolgopolov,54,13,29.4,UKR1,966,-1,-,-,-,-,-
Andreas Seppi,55,18,34.1,ITA2,951,7,100,Budapest R32,Qual. Monte Carlo WLost in Monte Carlo R16,-,-
Ryan Harrison,56,40,25.9,USA7,945,-2,-,-,-,-,-
Aljaž Bedene,57,43,28.7,SLO1,922,1,45,Budapest R32,Lost in Monte Carlo R32,-,-
Julien Benneteau,58,25,36.3,FRA7,901,-1,10,-,Lost in Monte Carlo R64,-,-
Márton Fucsovics,59,CH,26.2,HUN1,864,-,-,Budapest R32,Lost in Monte Carlo R64,-,-
Guido Pella,60,39,27.9,ARG4,858,-,-,Barcelona R64,Lost in Monte Carlo R64,-,-
Jan Lennard Struff,61,44,27.9,GER5,830,-,-25,Budapest R32,Lost in Monte Carlo R16,-,-
Frances Tiafoe,62,56,20.2,USA8,823,-6,-90,-,-,-,-
Stefanos Tsitsipas,63,NCH    (69),19.6,GRE1,822,8,55,Barcelona R64,Qual. Monte Carlo WLost in Monte Carlo R32(R64  ),-,-
Nicolas Jarry,64,61,22.5,CHI1,822,1,-,Barcelona R64,-,-,-
Taylor Fritz,65,53,20.4,USA9,819,1,-,-,-,-,-
Paolo Lorenzi,66,33,36.3,ITA3,815,-3,-35,Budapest R32,Lost in Monte Carlo R64,-,-
João Sousa,67,28,29,POR1,805,-3,-25,Barcelona R64,-,-,-
Horacio Zeballos,68,39,32.9,ARG5,798,-1,-,-,-,-,-
Guillermo García López,69,23,34.8,ESP8,789,-1,-9,Barcelona R64,Lost in Qual. Monte Carlo R2Lost in Monte Carlo R32,-,-
Gilles Simon,70,6,33.3,FRA8,780,-1,-,Barcelona R64,Lost in Monte Carlo R32,-,-
Viktor Troicki,71,12,32.1,SRB3,775,-1,-,Budapest R32,Lost in Qual. Monte Carlo R1,-,-
Florian Mayer,72,18,34.5,GER6,745,2,16,-,Lost in Qual. Monte Carlo R2Lost in Monte Carlo R64,-,-
Pierre Hugues Herbert,73,63,27,FRA9,734,9,44,-,Qual. Monte Carlo WLost in Monte Carlo R32,-,-
Maximilian Marterer,74,70,22.8,GER7,731,-1,-,Budapest R32,Lost in Qual. Monte Carlo R1,-,-
Ivo Karlović,75,14,39.1,CRO3,715,1,-,Barcelona R64,-,-,-
Federico Delbonis,76,33,27.5,ARG6,710,3,-,Barcelona R64,Lost in Qual. Monte Carlo R1,-,-
Roberto Carballés Baena,77,72,25,ESP9,710,-2,-8,Barcelona R64,Lost in Qual. Monte Carlo R1,-,-
Jiří Veselý,78,35,24.7,CZE2,708,-6,-37,-,-,-,-
Nikoloz Basilashvili,79,51,26.1,GEO1,707,1,7,Budapest R32,Lost in Tunis QF,-,-
Marcos Baghdatis,80,8,32.8,CYP1,699,1,-,-,Lost in Qual. Budapest R1,-,-
Matthew Ebden,81,61,30.4,AUS2,694,-3,-19,-,-,-,-
Vasek Pospisil,82,25,27.8,CAN3,690,-5,-25,Anning R32,-,-,-
Yuki Bhambri,83,CH,25.8,IND1,688,-,-,-,-,-,-
Marius Copil,84,73,27.5,ROU1,680,2,-,Budapest R32,-,-,-
Jérémy Chardy,85,25,31.1,FRA10,675,-1,-10,-,Qual. Monte Carlo WLost in Monte Carlo R64,-,-
Evgeny Donskoy,86,65,27.9,RUS4,673,1,-,Anning R32,Lost in Nanchang QF,-,-
Denis Istomin,87,33,31.6,UZB1,673,1,-,Budapest R32,Lost in Qual. Monte Carlo R1,-,-
Malek Jaziri,88,47,34.2,TUN1,673,-3,-10,Barcelona R64,Lost in Tunis R32,-,-
Mirza Bašić,89,74,26.7,BIH2,669,3,26,Budapest R32,Lost in Qual. Monte Carlo R2Lost in Monte Carlo R64,-,-
Ričardas Berankis,90,50,27.8,LTU1,668,-1,-,-,-,-,-
Dušan Lajović,91,57,27.8,SRB4,664,2,25,Barcelona R64,Qual. Monte Carlo WLost in Monte Carlo R64,-,-
Marco Cecchinato,92,82,25.5,ITA4,664,8,58,Budapest R32,Qual. Monte Carlo WLost in Monte Carlo R32Lost in Qual. Budapest R2,-,-
Nicolás Kicker,93,78,25.6,ARG7,650,-3,-,-,-,-,-
John Millman,94,60,28.8,AUS3,645,-3,-,Budapest R32,-,-,-
Mikhail Kukushkin,95,46,30.3,KAZ1,634,-,-,Barcelona R64,Lost in Qual. Monte Carlo R1,-,-
Dudi Sela,96,29,33,ISR1,629,-2,-9,-,-,-,-
Radu Albot,97,81,28.4,MDA1,626,-1,-,Budapest R32,Lost in Tunis R32,-,-
Jordan Thompson,98,63,24,AUS4,622,1,11,Anning R32,Lost in Nanchang SF,-,-
Thomas Fabbiano,99,70,28.9,ITA5,611,4,25,Budapest R32,Lost in Tunis SF,-,-
Mikhail Youzhny,100,8,35.8,RUS5,610,-3,-6,Budapest R32,-,-,-
Cedrik Marcel Stebe,101,71,27.5,GER8,596,-,-,-,-,-,-
Laslo Djere,102,85,22.8,SRB5,594,-,-,-,-,-,-
Cameron Norrie,103,CH,22.6,GBR3,581,1,-,-,-,-,-
Matteo Berrettini,104,95,22,ITA6,577,1,-,Budapest R32,Qual. Budapest W,-,-
Lukáš Lacko,105,44,30.4,SVK1,540,1,-,-,-,-,-
Bjorn Fratangelo,106,99,24.7,USA10,536,1,-,Barcelona R64,Qual. Barcelona W,-,-
Ruben Bemelmans,107,84,30.2,BEL2,523,1,-,Francavilla R32,-,-,-
Stefano Travaglia,108,NCH   (109),26.3,ITA7,515,1,-,Francavilla R32,Lost in Qual. Monte Carlo R1,-,-
Nicolas Mahut,109,37,36.2,FRA11,514,2,6,-,Lost in Qual. Monte Carlo R2,-,-
Quentin Halys,110,102,21.4,FRA12,514,8,45,Anning R32,Nanchang W,-,-
Gastão Elias,111,57,27.4,POR2,511,-1,-,-,Lost in Tunis R16,-,-
Yen Hsun Lu,112,33,34.6,TPE1,505,-14,-110,-,-,-,-
Taro Daniel,113,85,25.2,JPN3,501,-,-,-,Lost in Sarasota R32,-,-
Alex de Minaur,114,112,19.1,AUS5,497,-2,-8,-,Lost in Qual. Monte Carlo R1,-,-
Ramkumar Ramanathan,115,NCH   (116),23.4,IND2,495,1,6,Anning R32,Lost in Nanchang QF,-,-
Gerald Melzer,116,68,27.7,AUT2,490,-1,-,-,Lost in Qual. Budapest R1,-,-
Ilya Ivashka,117,NCH   (122),24.1,BLR1,485,5,27,Barcelona R64,Qual. Monte Carlo WLost in Monte Carlo R64Qual. Barcelona W,-,-
Pedro Sousa,118,102,29.9,POR3,484,1,17,-,Lost in Tunis QF,-,-
Calvin Hémery,119,NCH   (130),23.2,FRA13,474,11,45,Anning R32,Lost in Nanchang F,-,-
Denis Kudla,120,53,25.6,USA11,471,-3,-10,Tallahassee R32,-,-,-
