name,rank,move,country,age,points,tournaments
Simona Halep,1,0,ROU,26,8140,18
Caroline Wozniacki,2,0,DEN,27,6790,21
Garbiñe Muguruza,3,0,ESP,24,6065,23
Elina Svitolina,4,0,UKR,23,5630,18
Jelena Ostapenko,5,0,LAT,20,5307,21
Karolina Pliskova,6,0,CZE,26,4730,20
Caroline Garcia,7,0,FRA,24,4615,23
Venus Williams,8,0,USA,37,4276,14
Sloane Stephens,9,0,USA,25,3938,13
Petra Kvitova,10,0,CZE,28,3271,19
Julia Goerges,11,0,GER,29,2980,24
Angelique Kerber,12,0,GER,30,2971,20
Madison Keys,13,0,USA,23,2722,17
Daria Kasatkina,14,0,RUS,20,2570,22
Anastasija Sevastova,15,0,LAT,28,2545,24
Coco Vandeweghe,16,0,USA,26,2488,17
Elise Mertens,17,0,BEL,22,2420,25
Magdalena Rybarikova,18,0,SVK,29,2350,23
Ashleigh Barty,19,0,AUS,21,2318,18
Kristina Mladenovic,20,0,FRA,24,2280,29
Kiki Bertens,21,0,NED,26,2135,26
Naomi Osaka,22,0,JPN,20,2105,24
Johanna Konta,23,0,GBR,26,1995,22
Daria Gavrilova,24,0,AUS,24,1925,23
Carla Suárez Navarro,25,0,ESP,29,1910,24
Barbora Strycova,26,0,CZE,32,1765,24
Anastasia Pavlyuchenkova,27,0,RUS,26,1700,24
Svetlana Kuznetsova,28,0,RUS,32,1613,15
Agnieszka Radwanska,29,0,POL,29,1525,20
Shuai Zhang,30,0,CHN,29,1500,29
Anett Kontaveit,31,0,EST,22,1475,23
Ekaterina Makarova,32,0,RUS,29,1380,21
Dominika Cibulkova,33,0,SVK,28,1380,21
Sorana Cirstea,34,0,ROU,28,1355,24
Alizé Cornet,35,0,FRA,28,1355,28
Petra Martic,36,△1,CRO,27,1273,13
Irina-Camelia Begu,37,△1,ROU,27,1270,27
Timea Babos,38,△1,HUN,24,1270,27
Mihaela Buzarnescu,39,△1,ROU,29,1263,31
Lesia Tsurenko,40,△1,UKR,28,1260,27
Maria Sharapova,41,△1,RUS,31,1257,13
Shuai Peng,42,▽6,CHN,32,1255,23
Elena Vesnina,43,0,RUS,31,1175,24
Catherine Bellis,44,0,USA,19,1175,20
Danielle Collins,45,0,USA,24,1137,27
Timea Bacsinszky,46,0,SUI,28,1132,12
Aryna Sabalenka,47,0,BLR,19,1128,23
Maria Sakkari,48,△1,GRE,22,1117,25
Alison Van Uytvanck,49,△1,BEL,24,1116,22
Lucie Safarova,50,△1,CZE,31,1088,18
Katerina Siniakova,51,△1,CZE,21,1075,25
Zarina Diyas,52,▽4,KAZ,24,1075,22
Aleksandra Krunic,53,0,SRB,25,1075,22
Donna Vekic,54,0,CRO,21,1060,25
Aliaksandra Sasnovich,55,△1,BLR,24,1018,22
Carina Witthoeft,56,△1,GER,23,993,24
Samantha Stosur,57,△1,AUS,34,992,22
Camila Giorgi,58,△1,ITA,26,986,19
Su-Wei Hsieh,59,△1,TPE,32,975,29
Tatjana Maria,60,△1,GER,30,960,33
Kaia Kanepi,61,△1,EST,32,957,12
Beatriz Haddad Maia,62,△1,BRA,21,948,22
Monica Niculescu,63,△1,ROU,30,926,23
Qiang Wang,64,▽9,CHN,26,925,20
Mona Barthel,65,0,GER,27,904,25
Ana Bogdan,66,0,ROU,25,902,24
Monica Puig,67,0,PUR,24,895,21
Kateryna Kozlova,68,0,UKR,24,894,24
Magda Linette,69,0,POL,26,865,27
Kirsten Flipkens,70,0,BEL,32,846,23
Belinda Bencic,71,0,SUI,21,844,11
Kristyna Pliskova,72,0,CZE,26,825,26
Marketa Vondrousova,73,0,CZE,18,822,17
Varvara Lepchenko,74,0,USA,31,815,25
Polona Hercog,75,0,SLO,27,789,23
Sachia Vickery,76,0,USA,22,784,29
Heather Watson,77,0,GBR,25,782,25
Kateryna Bondarenko,78,0,UKR,31,775,24
Lara Arruabarrena,79,0,ESP,26,772,26
Madison Brengle,80,0,USA,28,767,25
Johanna Larsson,81,0,SWE,29,765,26
Natalia Vikhlyantseva,82,0,RUS,21,764,27
Yulia Putintseva,83,0,KAZ,23,760,26
Anna Karolina Schmiedlova,84,0,SVK,23,748,27
Jennifer Brady,85,0,USA,23,746,25
Yafan Wang,86,△12,CHN,23,745,21
Veronica Cepede Royg,87,▽1,PAR,26,738,21
Christina Mchale,88,0,USA,25,730,31
Sofia Kenin,89,▽2,USA,19,725,28
Ana Konjuh,90,▽1,CRO,20,718,17
Taylor Townsend,91,△17,USA,22,718,24
Luksika Kumkhum,92,▽2,THA,24,718,19
Sara Errani,93,▽2,ITA,30,715,21
Alison Riske,94,▽1,USA,27,710,27
Ajla Tomljanovic,95,▽1,AUS,24,700,25
Bernarda Pera,96,▽4,USA,23,697,22
Victoria Azarenka,97,▽2,BLR,28,695,5
